,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,강쉪 - YouTube,구독자 19.5만명,"간단한 맛있는 고구마요리 3가지~ 3 kinds of sweet potato recipe, korea food recipe [강쉪]",2019. 12. 25.,"539,094회",4.4천개,250개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 대파요리 3가지~ 3 kinds of  green onion cooking, korea food recipe [강쉪]",2019. 12. 21.,"586,467회",4.7천개,164개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 팥요리 3가지~ 팥죽,  팥앙금, 찐빵, 호떡,  3 kinds of  red bean  cooking, korea food recipe [강쉪]",2019. 12. 19.,"79,035회",1천개,24개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 쉬운 주먹밥 3가지~  참치마요, 스팸김치, 멸치볶음. 3 kinds of  Rice ball  cooking, korea food recipe [강쉪]",2019. 12. 17.,"189,115회",2.6천개,61개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 사과요리 3가지~ 사과치즈롤, 사과 도너츠, 사과 파이, 3 kinds of apple cooking, korea food recipe [강쉪]",2019. 12. 14.,"266,335회",2.2천개,95개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 무우요리 3가지~ 무전, 무나물, 간단 동치미, 3 kinds of radish cooking, korea food recipe  [강쉪]",2019. 12. 11.,"448,051회",3.7천개,155개
0,강쉪 - YouTube,구독자 19.5만명,"깊은맛 닭볶음탕 만들기~  Stir-fried chicken stew, korea food recipe [강쉪]",2019. 12. 8.,"30,162회",608개,17개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 묵은지요리 3가지 ~ 김치볶음, 김치전, 참치 김치찌개, 3 kinds of old Kimchi recipe,  korea food recipe [강쉪]",2019. 12. 6.,"328,088회",2.5천개,86개
0,강쉪 - YouTube,구독자 19.5만명,"감기예방하는 따뜻한 와인, 뱅쇼만들기~  Make Vin Chaud [강쉪]",2019. 12. 5.,"51,717회",519개,14개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 배추요리 3가지~ 배추전, 배추된장무침, 배추잡채,  korea food recipe, Three kinds of cabbage dishes [강쉪]",2019. 12. 3.,"648,037회",5.7천개,237개
0,강쉪 - YouTube,구독자 19.5만명,"시원한 소고기무국 맛있게 끓이는 법. Beef Radish Soup, korea food recipe.  [강쉪]",2019. 12. 1.,"13,038회",384개,7개
0,강쉪 - YouTube,구독자 19.5만명,"식당만큼 맛있는 얼큰한 코다리찜 만들기~ Kodari Jorim (Braised half-dried pollock), korea food recipe  [강쉪]",2019. 11. 29.,"11,223회",336개,5개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 감자요리 3가지~ 감자사라다, 감자 그라탕, 감자채전,  [강쉪] korea food recipe, Three kinds of potato dishes",2019. 11. 27.,"338,389회",2.8천개,108개
0,강쉪 - YouTube,구독자 19.5만명,"간단하고 맛있는 꼬막요리 3가지~ 꼬막무침, 꼬막국수, 꼬막 비빔밥  [강쉪] korea food recipe, 4 Cockle dishes",2019. 11. 25.,"39,500회",459개,8개
0,강쉪 - YouTube,구독자 19.5만명,"손이가고 맛있는 감자조림 2가지맛~  버터감자조림, 시래기감자조림,  [강쉪] korea food recipe, Two flavors of potato boiled food",2019. 11. 23.,"53,655회",904개,14개
0,강쉪 - YouTube,구독자 19.5만명,"밥도둑!! 쪽파김치 맛있게 담그는법. [강쉪] korea food recipe, Delicious green onion kimchi",2019. 11. 19.,"18,372회",337개,8개
0,강쉪 - YouTube,구독자 19.5만명,"쌀쌀할때는 얼큰한 바지락 순두부찌개 끓여보세요. ^^ [강쉪] korea food recipe, Spicy Soft Tofu Jjigae (Stew)",2019. 11. 17.,"15,500회",336개,4개
0,강쉪 - YouTube,구독자 19.5만명,"정말 쉽고 간단한 토스트 7가지맛~ 꿀팁!! [강쉪]korea food recipe, Really easy, 7 taste of simple toast.",2019. 11. 15.,"1,295,760회",1.1만개,469개
