,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,sub)오징어 두 마리로 파스타 만들기/ 오징어먹물파스타/ 오징어튀김파스타 / 오징어 바질파스타,2019. 4. 11.,"288,686회",2.3천개,63개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,SUB) 소갈비 바베큐!/수비드 40시간/낚시터 1박2일/궁극의 캠핑요리/이베리코 뼈등심,2019. 4. 3.,"347,417회",2.3천개,49개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,[수비드 동파육] 집에서 동파육 도전해봤어요!!!,2019. 3. 27.,"607,962회",4.6천개,141개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,sub) 이베리코 꼬치구이/티본 스테이크/립아이 스테이크,2019. 3. 16.,"625,034회",4.2천개,104개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,워터에이징 수비드 안심스테이크/고든램지 관자요리/한우2플러스/수비드메쉬포테이토/완두콩퓨레/water aging/wet aged steak/yonam #요남 #숙성안심 #다이닝,2019. 2. 27.,"831,254회",6.4천개,173개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,치즈폭발 랍스터 수제버거/100%소고기/퀸즈블랙/에그마니버거/치즈주사기,2019. 2. 11.,"512,717회",3.9천개,137개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,"집에서 하는 2+ 한우 채끝 수비드 규카츠, 아스파라거스 튀김  (sous Vide beef cutlet film)",2019. 1. 30.,"193,067회",2천개,25개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,"2+한우 채끝, 랍스터테일 스테이크 (Korean New York Strip Steak, Lobster, shrimp)",2019. 1. 21.,"163,043회",1.5천개,17개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,"SUB) 원룸 자취방에서 스테이크 레슨!!! (feat.수비드 티본, 토마호크스테이크)",2019. 1. 9.,"130,815회",1.1천개,17개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,sub) 친구에게 아기가 생겼어요! 신혼집 스테이크 파티? (feat. 인생뉴비 생후 2달 임솔),2018. 12. 29.,"560,517회",5.5천개,71개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,60일 웻에이징 스테이크를 시도해봤습니다 feat 대파 로제 파스타,2018. 12. 23.,"727,237회",4.5천개,126개
0,취미로 요리하는 남자 Yonam - YouTube,구독자 55.6만명,SUB) 썩은고기? ㄴㄴ 드라이에이징 티본 수비드 직화 스테이크,2018. 12. 12.,"425,292회",3.7천개,67개
