,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,줄서서 먹는 매운 오징어 김밥 만들기_ 한 줄만 먹어도 든든!,2020. 1. 29.,"59,628회",479개,6개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,매콤한 쟁반국수 만들기_ 쉽고 간단하게 명절 느끼함을 '확' 날려주는 맛!,2020. 1. 27.,"93,484회",800개,17개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,명절 나물로 돌솥비빔밥 만들기_ 쉽고 간단하게 고민해결 레시피,2020. 1. 26.,"20,157회",223개,7개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,전찌개 맛있게 만드는 법_ 2분만에 마스터하기,2020. 1. 25.,"10,453회",144개,6개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,아삭하고 고소한 봄동전 만드는 법_ 초간장에 찍어서 상큼하게!,2020. 1. 23.,"14,252회",175개,6개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,끝장나는 최고의 불고기 레시피_ 비법소스에 찍어먹으면 핵꿀맛!,2020. 1. 22.,"46,965회",548개,10개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,한입에 쏘옥! 설날특집 오징어전_ 쉽고 간단하게 만드는 법,2020. 1. 21.,"63,749회",362개,12개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,설날특집 '스팸꼬치전' 초간단 인기만점 레시피,2020. 1. 20.,"51,587회",357개,10개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,설날특집 팽이버섯전 '이것'을 넣으면 바삭함과 촉촉함이 2배!!,2020. 1. 19.,"132,879회",1.1천개,44개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,설날특집 새우전 만드는 법_ 이번 설날엔 맛있는 새우전 드셔보새우,2020. 1. 18.,"119,522회",1천개,42개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,당신의 수육 인생을 바꿔줄 1분 30초 영상,2020. 1. 17.,"11,295회",282개,6개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,설날특집 '모둠전' 끝판왕 레시피_ 쉽고 간단하게 7가지 전 만들기,2020. 1. 16.,"369,630회",2.3천개,107개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,설날특집 고추전&깻잎전 한번에 두가지 맛있게 만드는 법,2020. 1. 15.,"43,516회",286개,5개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,설날 칭찬받는 LA갈비 만드는 법_ 짭쪼름하고 부드러운 꿀맛 레시피,2020. 1. 13.,"30,694회",355개,8개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,설날특집 잡채 맛있게 만드는 법_ 5분만에 마스터하기,2020. 1. 11.,"313,486회",2.3천개,109개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,대박집 육개장 만드는 비법_ 진짜 맛있는 연매출 6억 레시피,2020. 1. 9.,"5,947회",145개,9개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,당신을 제육볶음 초고수로 만들어줄 '기적의 레시피',2020. 1. 7.,"17,523회",327개,5개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,"""만능마늘장"" 모든 요리가 쉬워지는 놀라운 레시피",2020. 1. 6.,"11,726회",276개,5개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,호텔 쉐프의 양갈비 스테이크 레시피,2020. 1. 5.,"2,807회",58개,3개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,ㄹㅇ맛있는 안동찜닭 만드는 법,2020. 1. 4.,"17,539회",394개,3개
