,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,승우아빠 - YouTube,구독자 44.2만명,쭈우우우우우욱 늘어나는 감자 요리 그런데 이제 치즈를 곁들인,2020. 1. 3.,"172,348회",2.6천개,55개
0,승우아빠 - YouTube,구독자 44.2만명,요리유튜버가 살 빼는 방법과 치명적인 부작용,2020. 1. 1.,"85,970회",1.6천개,20개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 케찹 요리 7가지,2019. 12. 30.,"162,498회",2.4천개,41개
0,승우아빠 - YouTube,구독자 44.2만명,판매 자체가 불법이었던 그 제품은 지금 어떻게 됐을까?,2019. 12. 29.,"123,920회",1.9천개,40개
0,승우아빠 - YouTube,구독자 44.2만명,최현석 셰프는 왜 자신의 이름을 건 레스토랑을 떠났을까,2019. 12. 28.,"399,368회",8.5천개,357개
0,승우아빠 - YouTube,구독자 44.2만명,국밥은 정말 가성비가 좋을까?,2019. 12. 27.,"300,329회",4.4천개,119개
0,승우아빠 - YouTube,구독자 44.2만명,34만 유튜브 채널에서 1년동안 벌어진 일,2019. 12. 25.,"148,173회",3.4천개,56개
0,승우아빠 - YouTube,구독자 44.2만명,이 간단한 것을 실패한다면 제가 벌칙을 받겠습니다... 연말을 위한 간단 파티요리,최초 공개: 2019. 12. 23.,"264,080회",4.1천개,70개
0,승우아빠 - YouTube,구독자 44.2만명,포방터 돈가스집 연돈 이슈 정리와 전통시장 상인회에 대한 개인적인 경험담,2019. 12. 22.,"306,868회",3.9천개,176개
0,승우아빠 - YouTube,구독자 44.2만명,냉동 차돌박이를 더 맛있게 먹는 7가지 방법,2019. 12. 20.,"145,428회",2.7천개,34개
0,승우아빠 - YouTube,구독자 44.2만명,3배 식초는 정말로 3배가 맞을까?,2019. 12. 18.,"55,152회",1.2천개,13개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 달걀 요리 N가지,2019. 12. 16.,"502,207회",6.5천개,163개
0,승우아빠 - YouTube,구독자 44.2만명,배달의 민족과 요기요는 이제 한가족 입니다,2019. 12. 15.,"96,485회",1.9천개,35개
0,승우아빠 - YouTube,구독자 44.2만명,너무 궁금해서 세번째 물어봅니다,2019. 12. 14.,"81,234회",1.4천개,16개
0,승우아빠 - YouTube,구독자 44.2만명,기름 한컵으로 튀기는 한끼 치킨,2019. 12. 13.,"241,607회",4.2천개,92개
0,승우아빠 - YouTube,구독자 44.2만명,감자튀김을 여섯배 더 맛있게 먹는 방법을 소개합니다 (옆구리 주의),2019. 12. 11.,"208,645회",3.4천개,57개
0,승우아빠 - YouTube,구독자 44.2만명,세상 간단한 어묵 요리 9가지,2019. 12. 9.,"436,134회",5.2천개,151개
