,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num,youtuber_id,clean_name
31,취미로 요리하는 남자 Yonam ,556000000,SUB) 요리하는 남자가 친구 집에 가면 벌어지는 일.,2019-04-23,2160227,13000,284,0,요리 남자 친구 집 가면 벌어지다 일
32,취미로 요리하는 남자 Yonam ,556000000,sub)오징어 두 마리로 파스타 만들기/ 오징어먹물파스타/ 오징어튀김파스타 / 오징어 바질파스타,2019-04-11,288686,230000,63,0,오징어 두 마리 파스타 오징어 먹물 파스타 오징어 튀김 파스타 오징어 바질 파스타
33,취미로 요리하는 남자 Yonam ,556000000,SUB) 소갈비 바베큐!/수비드 40시간/낚시터 1박2일/궁극의 캠핑요리/이베리코 뼈등심,2019-04-03,347417,230000,49,0,소갈비 바베큐 수비드 시간 낚시터 박일 궁극 캠핑 요리 베리 코 뼈 등심
34,취미로 요리하는 남자 Yonam ,556000000,[수비드 동파육] 집에서 동파육 도전해봤어요!!!,2019-03-27,607962,460000,141,0,수비드 동파육 집 동파육 도전 해봤다
35,취미로 요리하는 남자 Yonam ,556000000,sub) 이베리코 꼬치구이/티본 스테이크/립아이 스테이크,2019-03-16,625034,420000,104,0,베리 코 꼬치 구 이티 보다 스테이크 립 아이 스테이크
36,취미로 요리하는 남자 Yonam ,556000000,워터에이징 수비드 안심스테이크/고든램지 관자요리/한우2플러스/수비드메쉬포테이토/완두콩퓨레/water aging/wet aged steak/yonam #요남 #숙성안심 #다이닝,2019-02-27,831254,640000,173,0,워터 이징 수비드 안심 스테이크 고든 램지 관자 요리 한우 플러스 수비드 메쉬 포테이토 완두콩 퓨레 water agingwet aged steakyonam #요남 #숙성안심 #다이닝
37,취미로 요리하는 남자 Yonam ,556000000,치즈폭발 랍스터 수제버거/100%소고기/퀸즈블랙/에그마니버거/치즈주사기,2019-02-11,512717,390000,137,0,치즈 폭발 랍스터 수제 버거 소고기 퀸즈 블랙 에그 말다 버거 치즈 주사기
38,취미로 요리하는 남자 Yonam ,556000000,"집에서 하는 2+ 한우 채끝 수비드 규카츠, 아스파라거스 튀김  (sous Vide beef cutlet film)",2019-01-30,193067,20000,25,0,집 한우 채끝 수비드 규 카츠 아스파라거스 튀김 sous Vide beef cutlet film
39,취미로 요리하는 남자 Yonam ,556000000,"2+한우 채끝, 랍스터테일 스테이크 (Korean New York Strip Steak, Lobster, shrimp)",2019-01-21,163043,150000,17,0,한우 채끝 랍스터 테일 스테이크 Korean New York Strip Steak Lobster shrimp
40,취미로 요리하는 남자 Yonam ,556000000,"SUB) 원룸 자취방에서 스테이크 레슨!!! (feat.수비드 티본, 토마호크스테이크)",2019-01-09,130815,110000,17,0,원룸 자취 방 스테이크 레슨 수비드 티 보다 토마호크 스테이크
41,취미로 요리하는 남자 Yonam ,556000000,sub) 친구에게 아기가 생겼어요! 신혼집 스테이크 파티? (feat. 인생뉴비 생후 2달 임솔),2018-12-29,560517,550000,71,0,친구 에게 아기 생기 신혼집 스테이크 파티 인생 뉴비 생후 달 임솔
42,취미로 요리하는 남자 Yonam ,556000000,60일 웻에이징 스테이크를 시도해봤습니다 feat 대파 로제 파스타,2018-12-23,727237,450000,126,0,일 웻 이징 스테이크 시도 해봤다 대파 로제 파스타
43,취미로 요리하는 남자 Yonam ,556000000,SUB) 썩은고기? ㄴㄴ 드라이에이징 티본 수비드 직화 스테이크,2018-12-12,425292,370000,67,0,썩다 드라이 이징 티 보다 수비드 직화 스테이크
44,승우아빠 ,442000000,51시간동안 바베큐한 등갈비,2020-03-25,29770,150000,14,1,시간 동안 바베큐 등 갈비
45,승우아빠 ,442000000,음식 무조건 맛있게 하는 공식 알려드립니다,2020-03-25,142136,420000,41,1,음식 무조건 공식 알다 드리다
46,승우아빠 ,442000000,굴소스는 사드세요.....제발,2020-03-23,410497,510000,96,1,굴소스 사드 세 요 제발
47,승우아빠 ,442000000,세상 간단한 마이야르 치킨 3가지,2020-03-20,180382,360000,52,1,세상 간단하다 마이 야 르 치킨 가지
48,승우아빠 ,442000000,절대로 집에서 요리하면 안되는 사람들,2020-03-18,208209,570000,71,1,절대로 집 요리 안되다 사람 들다
49,승우아빠 ,442000000,세상 간단한 홍게요리 4가지와 게살버거,2020-03-16,160119,240000,49,1,세상 간단하다 홍게 요리 가지 게살 버거
50,승우아빠 ,442000000,세상 간단한 통조림 요리 7가지,2020-03-13,146496,310000,53,1,세상 간단하다 통조림 요리 가지
51,승우아빠 ,442000000,달걀60개로 김계란 만들기,2020-03-11,345845,360000,91,1,달걀 김 계란
52,승우아빠 ,442000000,400번 떨궈만드는 짜고나 국수를 만들었,2020-03-09,195381,320000,59,1,번 떨구다 만들다 짜다 국수 만들다
53,승우아빠 ,442000000,24시간동안 우대갈비를 요리해 보았습니다,2020-03-06,293449,350000,112,1,시간 동안 우대 갈비 요리 보다
54,승우아빠 ,442000000,요리를 잘 못해서 죄송합니다,2020-03-04,187650,40000,66,1,요리 자다 못 죄송하다
55,승우아빠 ,442000000,세상 간단한 볶음우동 요리 6가지,2020-03-02,161683,460000,45,1,세상 간단하다 볶음 우동 요리 가지
56,승우아빠 ,442000000,세상 간단한 떡볶이 레시피 6가지,2020-02-28,177062,330000,54,1,세상 간단하다 떡볶이 가지
57,승우아빠 ,442000000,동료에게 정치당해서 진급 떨어진일,2020-02-26,78710,160000,27,1,동료 에게 정치 당하다 진급 떨다 진일
58,승우아빠 ,442000000,세상 간단한 주먹밥 레시피 9가지,2020-02-24,204402,40000,44,1,세상 간단하다 주먹밥 가지
59,승우아빠 ,442000000,공중파 요리방송에 더이상 못나가게된 이유,2020-02-23,221414,360000,61,1,공중파 요리 방송 더 이상 못 나가다 되다 이유
60,승우아빠 ,442000000,174시간동안 베이컨을 만들어 보았습니다,2020-02-21,443957,560000,128,1,시간 동안 베이컨 만들다 보다
61,승우아빠 ,442000000,대형마트가 모두 사라질수도 있다고 합니다,2020-02-19,104533,190000,34,1,대형 마트 모두 사라지다 있다
62,승우아빠 ,442000000,세상 간단한 김밥 레시피 8가지,2020-02-17,226195,320000,69,1,세상 간단하다 김밥 가지
63,승우아빠 ,442000000,간장이 너무 많아서 만든 영상,2020-02-16,90486,20000,22,1,간장 너무 많다 만들다 영상
64,승우아빠 ,442000000,철 없는 30대의 프랑스식 소꿉요리와 크레페,2020-02-14,198608,330000,52,1,철 없다 대의 프랑스 식 소꿉 요리 크레페
65,승우아빠 ,442000000,세상간단한 훈제오리요리 8가지,2020-02-12,214729,430000,56,1,세상 간단하다 훈제오리 요리 가지
66,승우아빠 ,442000000,치킨회사 CEO의 치킨월드컵,2020-02-10,74746,84400,26,1,치킨 회사 CEO 치킨 월드컵
67,승우아빠 ,442000000,치킨회사 대표님의 충격고백,2020-02-09,81989,140000,38,1,치킨 회사 대표 님 충격고백
68,승우아빠 ,442000000,세상 간단한 라면 요리 10가지,2020-02-07,293505,520000,103,1,세상 간단하다 라면 요리 가지
69,승우아빠 ,442000000,이제는 치약도 핵불닭이다? 입천장 까지는 극한의 매운맛 치약 등장!,2020-02-05,71599,130000,30,1,이제 치약 핵 불닭 입천장 까지는 극한 매다 맛 치약 등장
70,승우아빠 ,442000000,마이야르 달팽이빵과 돼지 5겹살 요리,2020-02-03,109179,160000,29,1,마이 야 르 달팽이 빵 돼지 겹살 요리
71,승우아빠 ,442000000,세상 간단한 즉석밥 요리 10가지,2020-01-31,286587,650000,75,1,세상 간단하다 즉석밥 요리 가지
72,승우아빠 ,442000000,최신유행 핫도그 10가지를 넣었더니...,2020-01-29,236676,270000,59,1,최신유행 핫도그 가지 넣다
73,승우아빠 ,442000000,"오늘은 감자탕을 만들겠습니다, 그런데 이제 감자가 없는",2020-01-27,138663,240000,36,1,오늘 감자탕 만들다 그런데 이제 감자 없다
74,승우아빠 ,442000000,조리도구 다 필요없고 '이것' 여섯개만 있어도 충분합니다,2020-01-26,292936,550000,127,1,조리 도구 필요없다 것 여섯 있다 충분하다
75,승우아빠 ,442000000,배추만두! 사진만 보고 만들 수 있을까?,2020-01-24,104775,20000,25,1,배추 만두 사진 보고 만들다 수 있다
76,승우아빠 ,442000000,실제로 약빤(?) 동료와 함께 일할 때 생기는 일,2020-01-22,107976,210000,43,1,실제 약 빨다 동료 함께 일 때 생기 일
77,승우아빠 ,442000000,세상 간단한 대왕오징어 요리 5가지,2020-01-20,164414,20000,47,1,세상 간단하다 대왕오징어 요리 가지
78,승우아빠 ,442000000,펭수를 무단도용한 CU를 저격한 GS25와 편의점 전쟁,2020-01-19,114209,180000,50,1,펭수 무단 도용 CU 저격 GS 오다 편의점 전쟁
79,승우아빠 ,442000000,연예인 진상고객에게 꾸중받았던 썰,2020-01-17,127378,280000,34,1,연예인 진상 고객 에게 꾸중 받다 써다
80,승우아빠 ,442000000,국밥보다 든든한 닭갈비를 만드는 물팁,2020-01-15,104189,20000,30,1,국밥 보다 든든하다 닭갈비 만들다 물팁
81,승우아빠 ,442000000,세상 간단한 참PD 요리,2020-01-13,157589,210000,78,1,세상 간단하다 차다 PD 요리
82,승우아빠 ,442000000,아무리 생각해도 이건 좀 너무한것 같습니다 (분노주의),2020-01-12,217709,370000,286,1,아무리 생각 이건 좀 너무하다 같다 분노 주의
83,승우아빠 ,442000000,세상 간단한 감자 요리 6가지,2020-01-10,205756,380000,86,1,세상 간단하다 감자 요리 가지
84,승우아빠 ,442000000,영국출신 미친셰프를 만나고 직업을 바꾼 썰,2020-01-08,145649,270000,59,1,영국 출신 미치다 셰프 만나다 직업 바꾸다 써다
85,승우아빠 ,442000000,왕갈비버거! 사진만 보고 만들 수 있을까?,2020-01-06,198241,290000,57,1,왕 갈비 버거 사진 보고 만들다 수 있다
86,승우아빠 ,442000000,2020년 신제품 트랜드 총정리,2020-01-05,80264,190000,28,1,년 신제품 트 랜드 총 정리
87,승우아빠 ,442000000,쭈우우우우우욱 늘어나는 감자 요리 그런데 이제 치즈를 곁들인,2020-01-03,172348,260000,55,1,쭈우우우우우욱 늘어나다 감자 요리 그런데 이제 치즈 곁들이다
88,승우아빠 ,442000000,요리유튜버가 살 빼는 방법과 치명적인 부작용,2020-01-01,85970,160000,20,1,요리 유 튜버 살 빼다 방법 치명 적 인 부작용
89,승우아빠 ,442000000,세상 간단한 케찹 요리 7가지,2019-12-30,162498,240000,41,1,세상 간단하다 케찹 요리 가지
